dubious,title,rating,submitterid,imdbid,visible,id,date,year,description,status,version
0,Dial M for Murder,0.0,5334.0,0046912,1,3337.0,2012-06-10 23:57:01,1954.0,,,
0,"Secret in Their Eyes, The",1.0,1196.0,1305806,1,1140.0,2010-07-10 04:04:37,2009.0,,,
,Hauru no ugoku shiro (Howl's Moving Castle),3.0,21.0,0347149,1,258.0,2009-01-17 22:56:31,2004.0,,,
0,"Bridge on the River Kwai, The",1.0,4616.0,0050212,1,2981.0,2012-01-11 03:32:06,1957.0,,,
0,"Three Billboards Outside Ebbing, Missouri",3.0,15538.0,5027774,1,7953.0,2017-12-19 01:10:24,2017.0,,,
,Trainspotting,2.0,1.0,0117951,1,137.0,2008-08-03 00:20:15,1996.0,,,
0,Warrior,1.0,4742.0,1291584,1,3043.0,2012-02-12 08:05:54,2011.0,,,
0,Gran Torino,2.0,193.0,1205489,1,502.0,2009-09-11 22:21:17,2008.0,,,
0,Fargo,2.0,2371.0,0116282,1,1852.0,2010-12-14 23:36:58,1996.0,,,
0,Prisoners,3.0,8374.0,1392214,1,4641.0,2013-09-28 18:09:35,2013.0,,,
,Tonari no Totoro,3.0,21.0,0096283,1,259.0,2009-01-17 23:04:52,1988.0,,,
0,Million Dollar Baby,3.0,1205.0,0405159,1,1148.0,2010-07-10 06:31:16,2004.0,,,
0,Catch Me If You Can,2.0,348.0,0264464,1,617.0,2009-12-28 23:15:02,2002.0,,,
0,"Gold Rush, The",0.0,1423.0,0015864,1,1309.0,2010-07-25 08:47:28,1925.0,,,
,,,,,,,,,Movie not yet approved,403,v1
,Blade Runner,1.0,21.0,0083658,1,234.0,2008-12-10 19:40:42,1982.0,,,
0,On the Waterfront,0.0,2308.0,0047296,1,1812.0,2010-12-01 23:04:29,1954.0,,,
0,12 Years a Slave,3.0,9099.0,2024544,1,5033.0,2014-01-03 02:49:11,2013.0,,,
0,Before Sunrise,0.0,6870.0,0112471,1,4020.0,2013-03-27 13:43:45,1995.0,,,
0,"Third Man, The",0.0,341.0,0041959,1,611.0,2009-12-28 04:12:48,1949.0,,,
0,Smultronst&auml;llet (Wild Strawberries),2.0,3744.0,0050986,1,2520.0,2011-07-12 13:02:57,1957.0,,,
1,Harry Potter and the Deathly Hallows: Part 2,3.0,3773.0,1201607,1,2539.0,2011-07-14 20:35:38,2011.0,,,
0,Ben-Hur,3.0,1588.0,0052618,1,1419.0,2010-08-01 13:10:23,1959.0,,,
0,"General, The",0.0,1424.0,0017925,1,1310.0,2010-07-25 08:49:07,1926.0,,,
0,Gone Girl,3.0,10961.0,2267998,1,5801.0,2014-10-04 05:48:26,2014.0,,,
0,"Deer Hunter, The",1.0,4015.0,0077416,1,2668.0,2011-09-08 17:31:52,1978.0,,,
0,"Grand Budapest Hotel, The",1.0,9577.0,2278388,1,5229.0,2014-03-04 11:40:01,2014.0,,,
0,In the Name of the Father,2.0,14671.0,0107207,1,7514.0,2017-03-14 13:38:56,1993.0,,,
0,Barry Lyndon,1.0,3334.0,0072684,1,2317.0,2011-05-20 20:36:53,1975.0,,,
0,Le Salaire de la Peur,1.0,1631.0,0046268,1,1444.0,2010-08-07 00:38:58,1953.0,,,
0,Sherlock Jr.,0.0,2688.0,0015324,1,2011.0,2011-02-09 03:32:15,1924.0,,,
0,Mr. Smith Goes to Washington,2.0,11266.0,0031679,1,5946.0,2014-11-25 12:59:18,1939.0,,,
1,Memories of Murder,3.0,13925.0,0353969,1,7093.0,2016-09-05 04:55:36,2003.0,,,
0,Hacksaw Ridge,1.0,14239.0,2119532,1,7281.0,2016-11-22 03:30:10,2016.0,,,
0,Klaus,1.0,17446.0,4729430,1,8901.0,2019-11-22 22:00:00,2019.0,,,
1,Relatos salvajes,3.0,12097.0,3011894,1,6256.0,2015-05-20 10:17:18,2014.0,,,
0,"Seventh Seal, The",1.0,2729.0,0050976,1,2043.0,2011-02-15 14:15:32,1957.0,,,
0,Room,3.0,12859.0,3170832,1,6584.0,2015-12-07 02:30:53,2015.0,,,
0,Mad Max: Fury Road,3.0,11993.0,1392190,1,6242.0,2015-05-15 17:36:08,2015.0,,,
0,Mary and Max,1.0,4016.0,0978762,1,2669.0,2011-09-08 21:49:30,2009.0,,,
0,How to Train Your Dragon,3.0,490.0,0892769,1,711.0,2010-03-31 19:53:01,2010.0,,,
0,"Big Lebowski, The",1.0,196.0,0118715,1,505.0,2009-09-11 23:44:54,1998.0,,,
,"Monsters, Inc.",1.0,1.0,0198781,1,148.0,2008-08-07 23:34:17,2001.0,,,
0,Jaws,3.0,3807.0,0073195,1,2561.0,2011-07-20 19:34:32,1975.0,,,
0,Tokyo Story,3.0,2002.0,0046438,1,1630.0,2010-10-04 04:48:49,1953.0,,,
0,"Passion of Joan of Arc, The",0.0,1428.0,0019254,1,1314.0,2010-07-25 08:56:17,1928.0,,,
0,Dead Poets Society,1.0,3417.0,0097165,1,2361.0,2011-05-29 21:25:15,1989.0,,,
,,,,,,,,,Could not find movie,404,v1
0,Ford v Ferrari,0.0,17384.0,1950186,1,8869.0,2019-10-12 10:48:31,2019.0,,,
0,Rocky,1.0,3182.0,0075148,1,2267.0,2011-05-03 19:31:33,1976.0,,,
0,Platoon,0.0,5838.0,0091763,1,3558.0,2012-09-28 17:45:27,1986.0,,,
0,Pather Panchali,3.0,10136.0,0048473,1,5471.0,2014-05-14 23:40:44,1955.0,,,
0,Everything Everywhere All at Once,3.0,20042.0,6710474,1,10304.0,2022-04-25 05:10:07,2022.0,,,
0,Stand By Me,0.0,808.0,0092005,1,898.0,2010-06-04 23:50:34,1986.0,,,
0,"Terminator, The",3.0,1587.0,0088247,1,1418.0,2010-08-01 13:08:15,1984.0,,,
0,Spotlight,1.0,13169.0,1895587,1,6707.0,2016-02-02 10:43:36,2015.0,,,
0,Rush,1.0,9184.0,1979320,1,5061.0,2014-01-11 15:09:23,2013.0,,,
1,Logan,3.0,14602.0,3315342,1,7479.0,2017-03-03 04:46:13,2017.0,,,
0,Ratatouille,1.0,1.0,0382932,1,14.0,2008-07-19 00:00:00,2007.0,,,
0,Network,3.0,1539.0,0074958,1,1401.0,2010-07-28 20:52:49,1976.0,,,
,Into the Wild,1.0,21.0,0758758,1,313.0,2009-04-19 22:36:56,2007.0,,,
,"Wizard of Oz, The",3.0,8.0,0032138,1,174.0,2008-09-03 21:13:47,1939.0,,,
0,Before Sunset,0.0,9329.0,0381681,1,5117.0,2014-01-29 21:55:42,2004.0,,,
,Groundhog Day,2.0,1.0,0107048,1,114.0,2008-07-31 22:33:31,1993.0,,,
0,"Exorcist, The",3.0,541.0,0070047,1,751.0,2010-04-24 06:07:57,1973.0,,,
,,,,,,,,,Could not find movie,404,v1
0,To Be or Not to Be,0.0,9716.0,0035446,1,5303.0,2014-03-19 21:55:23,1942.0,,,
0,"Best Years of Our Lives, The",2.0,6790.0,0036868,1,3982.0,2013-03-15 12:54:55,1946.0,,,
0,"Incredibles, The",3.0,1.0,0317705,1,50.0,2008-07-20 00:00:00,2004.0,,,
0,La battaglia di Algeri,1.0,406.0,0058946,1,658.0,2010-01-22 01:40:20,1966.0,,,
0,Hachi: A Dog&#39;s Tale,1.0,16714.0,1028532,1,8555.0,2018-12-14 23:54:15,2009.0,,,
0,"Grapes of Wrath, The",3.0,1508.0,0032551,1,1387.0,2010-07-27 05:48:01,1940.0,,,
0,Rebecca,3.0,349.0,0032976,1,618.0,2009-12-28 23:16:34,1940.0,,,
0,Amores Perros,1.0,10938.0,0245712,1,5792.0,2014-09-30 07:51:13,2000.0,,,
,,,,,,,,,Could not find movie,404,v1
0,Pirates of the Caribbean: The Curse of the Black Pearl,3.0,203.0,0325980,1,510.0,2009-09-20 00:50:29,2003.0,,,
0,La Haine,0.0,6537.0,0113247,1,3877.0,2013-02-06 22:12:15,1995.0,,,
,Cool Hand Luke,1.0,17.0,0061512,1,301.0,2009-03-24 15:12:42,1967.0,,,
,"400 Blows, The",0.0,19.0,0053198,1,236.0,2008-12-11 08:38:55,1959.0,,,
0,Persona,3.0,319.0,0060827,1,589.0,2009-12-27 21:51:35,1966.0,,,
0,"Handmaiden (Ah-ga-ssi) , The",3.0,14148.0,4016934,1,7228.0,2016-10-29 21:47:07,2016.0,,,
0,It Happened One Night,3.0,352.0,0025316,1,621.0,2009-12-28 23:20:38,1934.0,,,
0,"Sound of Music, The",3.0,331.0,0059742,1,601.0,2009-12-28 03:50:29,1965.0,,,
0,Life of Brian,3.0,593.0,0079470,1,787.0,2010-05-10 17:32:53,1979.0,,,
0,Dersu Uzala,0.0,2301.0,0071411,1,1807.0,2010-12-01 01:07:31,1975.0,,,
0,"Help, The",3.0,3200.0,1454029,1,2276.0,2011-05-05 13:28:11,2011.0,,,
0,Gandhi,2.0,18867.0,0083987,1,9593.0,2021-03-29 04:33:34,1982.0,,,
,Aladdin,0.0,1.0,0103639,1,98.0,2008-07-30 00:36:20,1992.0,,,
0,"Iron Giant, The",0.0,777.0,0129167,1,884.0,2010-05-31 18:51:46,1999.0,,,
